driverId,driverRef,fullname
1,hamilton,Lewis Hamilton
4,alonso,Fernando Alonso
830,verstappen,Max Verstappen
825,magnussen,Jan Magnussen
842,gasly,Pierre Gasly
807,hulkenberg,Nico Hülkenberg
815,perez,Sergio Pérez
817,ricciardo,Daniel Ricciardo
822,bottas,Valtteri Bottas
832,sainz,Carlos Sainz
839,ocon,Esteban Ocon
840,stroll,Lance Stroll
844,leclerc,Charles Leclerc
846,norris,Lando Norris
847,russell,George Russell
848,albon,Alexander Albon
852,tsunoda,Yuki Tsunoda
855,zhou,Guanyu Zhou
857,piastri,Oscar Piastri
858,sargeant,Logan Sargeant
